"","Planner Group code","Satindex"
"621","31L",2.28571428571429
"622","31L",5
"623","31L",4
"624","31L",4
"625","31L",5
"626","31L",3.57142857142857
"627","31L",4
"628","31L",4
"629","31L",5
"630","311",3.57142857142857
"631","311",1
"632","312",4
"633","312",3.71428571428571
"634","312",4
"635","312",2.42857142857143
"636","312",4.42857142857143
"637","312",4
"638","312",4.85714285714286
"639","312",5
"640","312",1.85714285714286
"641","31B",3.42857142857143
"642","31B",4.14285714285714
"643","31B",4
"644","31B",5
"645","31B",4.14285714285714
"646","31B",4
"647","31K",4
"648","31K",4.14285714285714
"649","31K",5
"650","31L",3.28571428571429
"651","31L",5
"652","31L",5
"653","31L",4
"654","31L",5
"655","322",4
"656","322",5
"657","322",4.42857142857143
"658","322",3.28571428571429
"659","322",4
"660","322",2.85714285714286
"661","322",4.14285714285714
"662","322",3.57142857142857
"663","352",3.57142857142857
"664","352",3.28571428571429
"665","352",5
"666","352",3.57142857142857
"667","352",3.42857142857143
"668","352",2.14285714285714
"669","352",4
"670","352",3.28571428571429
"671","352",3.85714285714286
"672","352",5
"673","411",5
"674","412",3.14285714285714
"675","412",4
"676","412",4.71428571428571
"677","412",2.42857142857143
"678","412",5
"679","412",4
"680","412",1
"681","412",2.71428571428571
"682","412",4.71428571428571
"683","412",3.14285714285714
"684","41A",2.85714285714286
"685","41A",4.42857142857143
"686","41A",4.85714285714286
"687","41A",3.85714285714286
"688","41A",4
"689","41A",5
"690","41A",3.57142857142857
"691","41A",2.28571428571429
"692","41B",1
"693","41B",1
"694","41B",4
"695","41B",5
"696","41B",4
"697","41B",4
"698","41B",5
"699","41B",1
"700","41B",4.14285714285714
"701","431",4
"702","431",2.85714285714286
"703","431",4.42857142857143
"704","431",3.42857142857143
"705","431",4
"706","431",3
"707","431",5
"708","431",1
"709","431",2.14285714285714
"710","432",4.85714285714286
"711","432",2.42857142857143
"712","432",5
"713","432",4
"714","432",2.28571428571429
"715","432",3
"716","432",4
"717","432",1.57142857142857
"718","432",1
"719","432",5
"720","43A",5
"721","43A",4
"722","43A",5
"723","43A",2.14285714285714
"724","43A",2
"725","43B",4
"726","43B",2.57142857142857
"727","43B",5
"728","441",4
"729","441",5
"730","441",3.57142857142857
"731","442",2.71428571428571
"732","442",4
"733","442",5
"734","442",4
"735","46A",5
"736","46A",4
"737","472",5
"738","47B",5
"739","47B",1.85714285714286
"740","47B",4
"741","47B",1
"742","47B",3.28571428571429
"743","47B",3.42857142857143
"744","47B",4
"745","47B",4
"746","47B",2.42857142857143
"747","47B",3.85714285714286
"748","47B",5
"749","47B",4
"750","47B",2.42857142857143
"751","47B",3.71428571428571
"752","481",2.71428571428571
"753","481",5
"754","611",4
