"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"26","RT @RealNewsX2: WATCH LIVE! Trump: No Deal With Dems On ""Dreamers"" -
 https://t.co/PuRKKrXtWc #RealNews M-F 8am-11am CT #ThursdayThoughts #…",FALSE,0,NA,2017-09-15 04:25:54,FALSE,NA,"908547398057713664",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Cecil3695Cecil",220,TRUE,FALSE,NA,NA
"27","RT @mrjosephbonner: Surviving After A Natural Disaster - 6 Things That May Save Your Life  #HurricaneIrmaAftermath #ThursdayThoughts https:…",FALSE,0,NA,2017-09-15 04:25:48,FALSE,NA,"908547375106465792",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","icaza_miguel",602,TRUE,FALSE,NA,NA
"28","RT @ElizabethBanks: My little boy saw this &amp; asked if it said ""no karate moves"". #ThursdayThoughts https://t.co/DvL868w26w",FALSE,0,NA,2017-09-15 04:25:31,FALSE,NA,"908547302322692096",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","briellefel10",117,TRUE,FALSE,NA,NA
"29","#tv #ThursdayThoughts https://t.co/H1FPTNUdR5 
 
#BB19
Kevin Gets Evicted From '#BigBrother19' Because The Paul Show Reigns Supreme",FALSE,0,NA,2017-09-15 04:25:28,FALSE,NA,"908547287629963264",NA,"<a href=""https://www.integromat.com"" rel=""nofollow"">Integromat</a>","Click_____Me",0,FALSE,FALSE,NA,NA
"30","#tv #ThursdayThoughts https://t.co/92wMwVwNtX 
#BigBrother19 

'#BB19' Juror Raven Walton Refers To Herself And Matt As Puppet Masters In Th",FALSE,0,NA,2017-09-15 04:25:27,FALSE,NA,"908547284555546625",NA,"<a href=""https://www.integromat.com"" rel=""nofollow"">Integromat</a>","Click_____Me",0,FALSE,FALSE,NA,NA
"31","RT @xfrpeelknight: Acts of kindness you regret VS. acts of malice you regret. Think about it...#ThursdayThoughts",FALSE,0,NA,2017-09-15 04:25:24,FALSE,NA,"908547272526282757",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JMoney731",1,TRUE,FALSE,NA,NA
"32","RT @TheLeftIsRacist: The ART OF THE DEAL! 
#ThursdayThoughts @realDonaldTrump #MAGA #IStandWithTrump<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8> https://t.co/y804Kj6mAT",FALSE,0,NA,2017-09-15 04:25:24,FALSE,NA,"908547271221854208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","W_C_Patriot",122,TRUE,FALSE,NA,NA
"33","RT @mrjosephbonner: Surviving After A Natural Disaster - 6 Things That May Save Your Life  #HurricaneIrmaAftermath #ThursdayThoughts https:…",FALSE,0,NA,2017-09-15 04:25:19,FALSE,NA,"908547249839280128",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","avavideos",602,TRUE,FALSE,NA,NA
"34","RT @mrjosephbonner: Surviving After A Natural Disaster - 6 Things That May Save Your Life  #HurricaneIrmaAftermath #ThursdayThoughts https:…",FALSE,0,NA,2017-09-15 04:25:17,FALSE,NA,"908547242922934272",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nateordie82",602,TRUE,FALSE,NA,NA
"35","RT @LeahR77: Maybe The US Should Just Adopt Mexico's Immigration Laws<U+2753><ed><U+00A0><U+00BE><ed><U+00B4><U+0094>  #DACADeal #ThursdayThoughts https://t.co/R8KFoSVCuY",FALSE,0,NA,2017-09-15 04:25:16,FALSE,NA,"908547238892146688",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","qwreggelsworth",488,TRUE,FALSE,NA,NA
